id,title,author,text,label
0,"Scientists discover new planet made of diamonds","John Doe","A team of astronomers recently observed a distant celestial body that appears to be composed entirely of crystallized carbon...",0
1,"Aliens landed in New York City yesterday!","Anon","In shocking news, a massive spaceship shaped like a saucer landed right in the middle of Central Park. People are panicking and the military is moving in...",1
2,"Eat chocolate every day to lose 10 pounds a week","HealthGuru","A new study shows that eating huge amounts of dark chocolate melts away belly fat instantly. No exercise required!",1
3,"Global markets rally after positive economic forecast","Jane Smith","The stock market saw significant gains on Monday following the release of an unexpectedly strong jobs report...",0
4,"The Earth is actually flat, say anonymous experts","TruthSeeker","A group of people have finally uncovered the biggest lie in history. The Earth is flat and gravity is an illusion created by the government...",1
5,"New AI model achieves human-level reasoning","Tech Reporter","Researchers at a leading AI lab have published a paper detailing a novel architecture that performs logically indistinguishable from human experts on complex tasks...",0
6,"Secret moon base run by shape-shifting lizards","Conspiracy King","Leaked NASA documents prove there is an underground base on the dark side of the moon controlled by reptilian overlords...",1
7,"Healthy diet and exercise lead to longer lifespan","Dr. Roberts","Medical professionals agree that a balanced diet consisting of vegetables, lean proteins, and regular cardiovascular exercise improves longevity...",0
8,"Drinking bleach cures all viruses instantly!","Fake Doctor","Forget modern medicine, the ultimate cure has been hiding under your sink this whole time. Guaranteed to destroy all pathogens in your body...",1
9,"City council approves new public park funding","Local News","The city council passed a resolution last night to allocate $2 million towards renovating the downtown public park, adding new playgrounds and walking trails...",0
